time_index,support,positive_support,mean_relative_position,mean_delta_prob,mean_abs_delta_prob,mean_delta_logit,mean_abs_delta_logit
0,2341,695,0.0,-0.01321870207866922,0.015572284258200298,-0.045388913309597045,0.056261551780852945
1,2341,695,0.14285714285714282,-0.008459870409819591,0.009287171545890007,-0.02948293136333309,0.03362577096334333
2,2341,695,0.28571428571428564,-0.004650318041019737,0.005850972143761314,-0.023417978815253808,0.028171129434002306
3,2341,695,0.42857142857142844,-0.007646750441534761,0.009176009317517077,-0.03341869811222294,0.039475862012395536
4,2341,695,0.5714285714285713,-0.008297215560184604,0.01002651946030363,-0.03711002040216806,0.044009239725141584
5,2341,695,0.7142857142857144,-0.007828172993086777,0.010937767285322123,-0.04335322061100866,0.0544109170837109
6,2341,695,0.8571428571428569,-0.017706495853931043,0.02364136741525664,-0.09371357229894321,0.11399082991778724
7,2341,695,1.0,0.018519189924841913,0.05982477157124084,-0.04746384939933908,0.24141603343933501
