time_index,support,positive_support,mean_relative_position,mean_delta_prob,mean_abs_delta_prob,mean_delta_logit,mean_abs_delta_logit
0,2341,695,0.0,-0.0022147374025942653,0.0073186247376824535,-0.009914171537452022,0.02426235550964416
1,2341,695,0.14285714285714282,-0.0035111087784950854,0.005941923166076593,-0.008855679545858664,0.0174372473378363
2,2341,695,0.28571428571428564,-0.002243593804990186,0.0045557490329981,-0.007088915569431657,0.01459469610410641
3,2341,695,0.42857142857142844,-8.328664500468412e-05,0.004720222126153075,-0.003191584196468415,0.016619932229102727
4,2341,695,0.5714285714285713,-0.0025374399493529993,0.008289877482141309,-0.03022851169209598,0.04365814617758999
5,2341,695,0.7142857142857144,0.003524872786769248,0.019490173405485083,-0.061016692424297254,0.10101582412478673
6,2341,695,0.8571428571428569,0.038901938789570684,0.051888660941410626,-0.039112022330380566,0.1819417416828214
7,2341,695,1.0,0.08873610184305149,0.11460712325177604,-0.009450759147506706,0.3625268898832714
