time_index,support,positive_support,mean_relative_position,mean_delta_prob,mean_abs_delta_prob,mean_delta_logit,mean_abs_delta_logit
0,2341,695,0.0,-0.00396134227033687,0.011733312501911423,-0.030730111768730986,0.0452560386940716
1,2341,695,0.14285714285714282,0.0007325022622413014,0.005527266231494797,-0.011577188558892428,0.01950740512414322
2,2341,695,0.28571428571428564,0.005305002440210306,0.006359039663107622,-0.0017439453205788354,0.013093007434858108
3,2341,695,0.42857142857142844,0.002542209579970963,0.006027223905751347,-0.010594496440615017,0.021064587769690155
4,2341,695,0.5714285714285713,0.002892780722990562,0.006006402539392469,-0.009233634097804783,0.020030657205824566
5,2341,695,0.7142857142857144,0.005672934525083338,0.007161128455940085,-0.000616151568969566,0.015950834406448296
6,2341,695,0.8571428571428569,0.002622947015766562,0.009258651774036883,-0.011920883621430102,0.031579485950002505
7,2341,695,1.0,0.053436501485139246,0.0643086346548205,0.13625769635255852,0.19005207919675995
