time_index,support,positive_support,mean_relative_position,mean_delta_prob,mean_abs_delta_prob,mean_delta_logit,mean_abs_delta_logit
0,2341,695,0.0,-0.034972527201734216,0.035037393312219375,-0.11293426139971631,0.11317046273090757
1,2341,695,0.14285714285714282,-0.03483161927486894,0.03483177216931229,-0.10822741230905998,0.1082468508961159
2,2341,695,0.28571428571428564,-0.03308302663853062,0.03308844000569734,-0.10508990458848129,0.10514988608432346
3,2341,695,0.42857142857142844,-0.030470451719510707,0.03047566230103313,-0.09331828435355402,0.09340322765592121
4,2341,695,0.5714285714285713,-0.03255379764643243,0.032592478349274964,-0.10209431133158617,0.10224310306705683
5,2341,695,0.7142857142857144,-0.03189398186633006,0.031922471358861323,-0.10142186739939889,0.10160466696468684
6,2341,695,0.8571428571428569,-0.02583143560057494,0.026175900874440612,-0.08530733287604968,0.08649761785921353
7,2341,695,1.0,-0.013507692154758682,0.049096890247698644,-0.04244638199327989,0.1751605449745647
